Nation,Gold,Silver,Bronze,Total
United States,246,169,134,549
Australia,60,67,65,192
Hungary,28,25,20,73
Japan,22,26,32,80
Netherlands,22,18,19,59
Great Britain,16,28,30,74
Germany,55,61,71,187
China,13,19,11,43
Sweden,9,15,14,38
Canada,8,15,26,49
France,8,15,20,43
South Africa,6,6,6,18
Russia,23,33,36,92
Italy,5,5,12,22
Ukraine,4,2,1,7
Denmark,3,5,6,14
Romania,3,2,4,9
Ireland,3,0,1,4
Zimbabwe,2,4,1,7
Australasia,2,3,3,8
Spain,2,2,4,8
New Zealand,2,1,3,6
Tunisia,2,0,1,3
Austria,1,6,5,12
Brazil,1,4,9,14
Greece,1,4,3,8
Poland,1,3,2,6
South Korea,1,3,0,4
Belgium,1,2,2,5
Costa Rica,1,1,2,4
Argentina,1,1,1,3
Bulgaria,1,1,1,3
Yugoslavia,1,1,0,2
Mexico,1,0,1,2
Suriname,1,0,1,2
Kazakhstan,1,0,0,1
Lithuania,1,0,0,1
Singapore,1,0,0,1
Belarus,0,2,1,3
Slovakia,0,2,0,2
Finland,0,1,3,4
Cuba,0,1,1,2
Norway,0,1,1,2
Croatia,0,1,0,1
Serbia,0,1,0,1
Slovenia,0,1,0,1
Philippines,0,0,2,2
Switzerland,0,0,1,1
Trinidad and Tobago,0,0,1,1
Venezuela,0,0,1,1
Totals,559,557,558,1674
