Nation,Gold,Silver,Bronze,Total
China,31,15,8,54
United States,16,16,12,44
Bulgaria,12,17,8,37
Iran,9,5,5,19
France,9,3,3,15
Turkey,8,1,2,11
Germany,9,13,16,38
Poland,6,6,22,34
Greece,6,5,4,15
North Korea,5,8,4,17
Italy,5,4,5,14
Egypt,5,3,6,14
Thailand,5,2,7,14
Russia,48,32,9,89
South Korea,3,6,6,15
Austria,3,4,2,9
Chinese Taipei,3,2,3,8
Hungary,2,9,9,20
Romania,2,6,3,11
Japan,2,3,9,14
Kazakhstan,2,3,5,10
Colombia,2,3,3,8
Cuba,2,1,5,8
Georgia,2,1,2,5
Ukraine,2,1,2,5
Belarus,1,4,3,8
Estonia,1,3,3,7
Great Britain,1,3,3,7
Belgium,1,2,1,4
Canada,1,2,1,4
Denmark,1,2,0,3
Australia,1,1,2,4
Spain,1,1,1,3
Finland,1,0,2,3
Mexico,1,0,2,3
Croatia,1,0,1,2
Uzbekistan,1,0,1,2
Norway,1,0,0,1
Indonesia,0,6,6,12
Armenia,0,3,2,5
Switzerland,0,2,2,4
Trinidad and Tobago,0,1,2,3
Argentina,0,1,1,2
Latvia,0,1,1,2
Nigeria,0,1,1,2
Vietnam,0,1,1,2
Lebanon,0,1,0,1
Luxembourg,0,1,0,1
Philippines,0,1,0,1
Samoa,0,1,0,1
Singapore,0,1,0,1
Sweden,0,0,4,4
Netherlands,0,0,3,3
Cameroon,0,0,1,1
India,0,0,1,1
Iraq,0,0,1,1
Lithuania,0,0,1,1
Qatar,0,0,1,1
Venezuela,0,0,1,1
Totals,215,210,212,637
